책제목,저자,가격,이미지,책_상세_주소
마이크로서비스 아키텍처 구축 가이드,김용욱 ,"28,800",https://www.hanbit.co.kr/data/books/B9403623796_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=B9403623796
실전에서 바로 쓰는 Next.js,미셸 리바 ,"23,400",https://www.hanbit.co.kr/data/books/B1068448075_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=B1068448075
이것이 Windows Server다(개정판),우재남 ,"38,700",https://www.hanbit.co.kr/data/books/B2079064069_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=B2079064069
업무에 바로 쓰는 AWS 입문,김성민 ,"24,300",https://www.hanbit.co.kr/data/books/B1147715738_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=B1147715738
프로덕트 매니저는 무슨 일을 하고 있을까,"개점휴업 , 최민 ","18,000",https://www.hanbit.co.kr/data/books/B4435817798_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=B4435817798
우리가 사랑한 한국 PC 게임,"장세용 , 오영욱 , 조기현 ","35,100",https://www.hanbit.co.kr/data/books/B6624610840_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=B6624610840
러닝 타입스크립트,조시 골드버그 ,"23,400",https://www.hanbit.co.kr/data/books/B9711663545_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=B9711663545
혼자 공부하는 데이터 분석 with 파이썬,박해선 ,"23,400",https://www.hanbit.co.kr/data/books/B1666992199_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=B1666992199
자바스크립트로 배우는 SICP,"해럴드 에이블슨 , 제럴드 제이 서스먼 , 마틴 헨즈 , 토비아스 브릭스타드 , 줄리 서스먼 ","40,500",https://www.hanbit.co.kr/data/books/B3583369126_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=B3583369126
NGINX 쿡북(2판),데릭 디용기 ,"18,900",https://www.hanbit.co.kr/data/books/B9583925549_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=B9583925549
데이터로 말한다! 퍼포먼스 마케팅,이은영 ,"18,900",https://www.hanbit.co.kr/data/books/B8839851696_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=B8839851696
트랜스포머를 활용한 자연어 처리,"루이스 턴스톨 , 레안드로 폰 베라 , 토마스 울프 ","35,100",https://www.hanbit.co.kr/data/books/B2369016915_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=B2369016915
자바에서 코틀린으로,"덩컨 맥그레거, 냇 프라이스 ","32,400",https://www.hanbit.co.kr/data/books/B8465247545_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=B8465247545
모던 자바스크립트로 배우는 리액트 입문,자케(오카다 다쿠미) ,"20,700",https://www.hanbit.co.kr/data/books/B6607327754_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=B6607327754
소문난 명강의 : 김범준의 핸즈온 리액트 네이티브,김범준 ,"42,300",https://www.hanbit.co.kr/data/books/B2920695216_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=B2920695216
UX/UI 디자이너를 위한 실무 피그마(개정판),클레어 정 ,"23,400",https://www.hanbit.co.kr/data/books/B9807526516_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=B9807526516
온디바이스 AI,로런스 모로니 ,"27,000",https://www.hanbit.co.kr/data/books/B1705712480_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=B1705712480
"파이썬 웹 프로그래밍, 기초편(3판)",김석훈 ,"23,400",https://www.hanbit.co.kr/data/books/B9931217687_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=B9931217687
데이터 과학을 위한 파이썬과 R,"릭 슈카페타 , 보이안 앙겔로프 ","16,200",https://www.hanbit.co.kr/data/books/B2607830601_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=B2607830601
전문가를 위한 C,캄란 아미니 ,"49,500",https://www.hanbit.co.kr/data/books/B6135642963_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=B6135642963
파이썬 라이브러리를 활용한 텍스트 분석,"젠스 알브레히트 , 싯다르트 라마찬드란 , 크리스티안 윙클러 ","31,500",https://www.hanbit.co.kr/data/books/B8501475551_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=B8501475551
소프트웨어 아키텍처 The Hard Parts,"닐 포드 , 마크 리처즈 , 프라모드 세달라지 , 세막 데그하니 ","32,400",https://www.hanbit.co.kr/data/books/B9812407060_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=B9812407060
파이썬 기반 금융 인공지능,이브 힐피시 ,"37,800",https://www.hanbit.co.kr/data/books/B2409963430_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=B2409963430
어쩌다 데이터 분석 with 파이썬,김유지(Clary K) ,"25,200",https://www.hanbit.co.kr/data/books/B7520909011_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=B7520909011
이것이 자바다(개정판),"신용권 , 임경균 ","32,400",https://www.hanbit.co.kr/data/books/B4861113361_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=B4861113361
판다스 인 액션,보리스 패스캐버 ,"34,200",https://www.hanbit.co.kr/data/books/B4172751734_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=B4172751734
데이터로 전문가처럼 말하기,칼 올친 ,"25,200",https://www.hanbit.co.kr/data/books/B5424596013_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=B5424596013
소문난 명강의 : 김기현의 딥러닝 부트캠프 with 파이토치,김기현 ,"34,200",https://www.hanbit.co.kr/data/books/B3642730745_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=B3642730745
코드로 인프라 관리하기(2판),키프 모리스 ,"30,600",https://www.hanbit.co.kr/data/books/B4910879762_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=B4910879762
개발자를 위한 머신러닝&딥러닝,로런스 모로니 ,"30,600",https://www.hanbit.co.kr/data/books/B9073454247_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=B9073454247
AWS 비용 최적화 바이블,"엘리 만수르 , 야이르 그린 ","27,000",https://www.hanbit.co.kr/data/books/B1451145389_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=B1451145389
혼자 공부하는 컴퓨터 구조+운영체제,강민철 ,"25,200",https://www.hanbit.co.kr/data/books/B9177037040_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=B9177037040
오늘부터 IT를 시작합니다,고코더(이진현) ,"16,200",https://www.hanbit.co.kr/data/books/B6257481771_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=B6257481771
SQL로 시작하는 데이터 분석,캐시 타니무라 ,"27,000",https://www.hanbit.co.kr/data/books/B7769611319_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=B7769611319
"피, 땀, 리셋 : 게임 개발 속 숨은 영웅들의 이야기",제이슨 슈라이어 ,"21,600",https://www.hanbit.co.kr/data/books/B9325418967_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=B9325418967
이것이 자료구조+알고리즘이다 with C 언어,박상현 ,"30,600",https://www.hanbit.co.kr/data/books/B9034896671_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=B9034896671
